DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1991,468832,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1992,502440,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1993,493786,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1994,504568,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1995,486433,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1996,485450,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1997,481549,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1998,479859,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,1999,493246,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,AT,2000,560306,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BE,2000,1002660,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BG,1995,196346,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BG,1996,184975,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BG,1997,228219,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BG,1998,159317,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BG,1999,145035,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,BG,2000,148915,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1991,382661,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1992,374237,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1993,371740,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1994,358028,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1995,346634,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1996,356018,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1997,382769,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1998,378045,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,1999,355255,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CH,2000,317335,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1991,3624,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1992,3808,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1993,4300,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1994,4304,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1995,4033,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1996,4529,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1997,3910,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1998,4316,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,1999,4212,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CY,2000,4340,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1991,282998,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1992,345205,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1993,398505,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1994,372427,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1995,375630,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1996,394267,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1997,403654,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1998,425930,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,1999,426626,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,CZ,2000,391469,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1991,5302796,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1992,6291519,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1993,6750613,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1994,6537748,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1995,6668717,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1996,6647598,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1997,6586165,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1998,6456996,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,1999,6302316,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DE,2000,6264723,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1991,519775,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1992,536821,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1993,546894,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1994,546926,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1995,538963,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1996,528488,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1997,531102,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1998,499167,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,1999,494191,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,DK,2000,504231,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1991,31748,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1992,41254,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1993,37163,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1994,35739,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1995,39570,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1996,35411,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1997,40972,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1998,45721,
ESTAT:CRIM_HIST$DEFAULTVIEW(1.0),26/02/15 23:00:00,A,NR,EE,1999,51539,
